PMS5003 Air Quality Sensor,,,,,
-------------------,,,,,
,,,,,
"Data period : 07/11/2023, 21/11/2023",,,,,
,,,,,
,,,,,
Date,Time,"Harris Church of England Academy, Rugby",Date,Time,Cardinal Newman Catholic Secondary School 
,,,,,
,,[Particles > 0.3um],,,[Particles > 0.3um]
07/11/2023,10:00:00,861,21/11/2023,09:00:00,1584
07/11/2023,10:00:05,861,21/11/2023,09:00:05,1584
07/11/2023,10:00:10,804,21/11/2023,09:00:10,1557
07/11/2023,10:00:15,804,21/11/2023,09:00:15,1557
07/11/2023,10:00:20,804,21/11/2023,09:00:20,1557
07/11/2023,10:00:25,846,21/11/2023,09:00:25,1545
07/11/2023,10:00:30,846,21/11/2023,09:00:30,1545
07/11/2023,10:00:35,846,21/11/2023,09:00:35,1545
07/11/2023,10:00:40,852,21/11/2023,09:00:40,1515
07/11/2023,10:00:45,852,21/11/2023,09:00:45,1515
07/11/2023,10:00:50,852,21/11/2023,09:00:50,1515
07/11/2023,10:00:55,867,21/11/2023,09:00:55,1611
07/11/2023,10:01:00,867,21/11/2023,09:01:00,1611
07/11/2023,10:01:05,867,21/11/2023,09:01:05,1611
07/11/2023,10:01:10,852,21/11/2023,09:01:10,1569
07/11/2023,10:01:15,852,21/11/2023,09:01:15,1569
07/11/2023,10:01:20,852,21/11/2023,09:01:20,1569
07/11/2023,10:01:25,861,21/11/2023,09:01:25,1533
07/11/2023,10:01:30,861,21/11/2023,09:01:30,1533
07/11/2023,10:01:35,861,21/11/2023,09:01:35,1533
07/11/2023,10:01:40,804,21/11/2023,09:01:40,1458
07/11/2023,10:01:45,804,21/11/2023,09:01:45,1458
07/11/2023,10:01:50,804,21/11/2023,09:01:50,1458
07/11/2023,10:01:55,882,21/11/2023,09:01:55,1395
07/11/2023,10:02:00,882,21/11/2023,09:02:00,1395
07/11/2023,10:02:05,882,21/11/2023,09:02:05,1395
07/11/2023,10:02:10,840,21/11/2023,09:02:10,1338
07/11/2023,10:02:15,840,21/11/2023,09:02:15,1338
07/11/2023,10:02:20,840,21/11/2023,09:02:20,1338
07/11/2023,10:02:25,762,21/11/2023,09:02:25,1326
07/11/2023,10:02:30,762,21/11/2023,09:02:30,1326
07/11/2023,10:02:35,762,21/11/2023,09:02:35,1326
07/11/2023,10:02:40,792,21/11/2023,09:02:40,1311
07/11/2023,10:02:45,792,21/11/2023,09:02:45,1311
07/11/2023,10:02:50,792,21/11/2023,09:02:50,1311
07/11/2023,10:02:55,783,21/11/2023,09:02:55,1302
07/11/2023,10:03:00,783,21/11/2023,09:03:00,1302
07/11/2023,10:03:05,783,21/11/2023,09:03:05,1302
07/11/2023,10:03:10,771,21/11/2023,09:03:10,1176
07/11/2023,10:03:15,771,21/11/2023,09:03:15,1176
07/11/2023,10:03:20,771,21/11/2023,09:03:20,1176
07/11/2023,10:03:25,741,21/11/2023,09:03:25,1080
07/11/2023,10:03:30,741,21/11/2023,09:03:30,1080
07/11/2023,10:03:35,741,21/11/2023,09:03:35,1080
07/11/2023,10:03:40,777,21/11/2023,09:03:40,1227
07/11/2023,10:03:45,777,21/11/2023,09:03:45,1320
07/11/2023,10:03:50,777,21/11/2023,09:03:50,1383
07/11/2023,10:03:55,819,21/11/2023,09:03:55,1431
07/11/2023,10:04:00,819,21/11/2023,09:04:00,1467
07/11/2023,10:04:05,819,21/11/2023,09:04:05,1479
07/11/2023,10:04:10,807,21/11/2023,09:04:10,1467
07/11/2023,10:04:15,807,21/11/2023,09:04:15,1440
07/11/2023,10:04:20,807,21/11/2023,09:04:20,1497
07/11/2023,10:04:25,702,21/11/2023,09:04:25,1560
07/11/2023,10:04:30,702,21/11/2023,09:04:30,1413
07/11/2023,10:04:35,702,21/11/2023,09:04:35,1377
07/11/2023,10:04:40,723,21/11/2023,09:04:40,1389
07/11/2023,10:04:45,723,21/11/2023,09:04:45,1389
07/11/2023,10:04:50,723,21/11/2023,09:04:50,1389
07/11/2023,10:04:55,753,21/11/2023,09:04:55,1269
07/11/2023,10:05:00,753,21/11/2023,09:05:00,1269
07/11/2023,10:05:05,753,21/11/2023,09:05:05,1269
07/11/2023,10:05:10,732,21/11/2023,09:05:10,1239
07/11/2023,10:05:15,732,21/11/2023,09:05:15,1239
07/11/2023,10:05:20,732,21/11/2023,09:05:20,1239
07/11/2023,10:05:25,705,21/11/2023,09:05:25,1233
07/11/2023,10:05:30,705,21/11/2023,09:05:30,1233
07/11/2023,10:05:35,705,21/11/2023,09:05:35,1233
07/11/2023,10:05:40,732,21/11/2023,09:05:40,1197
07/11/2023,10:05:45,732,21/11/2023,09:05:45,1197
07/11/2023,10:05:50,732,21/11/2023,09:05:50,1197
07/11/2023,10:05:55,732,21/11/2023,09:05:55,1176
07/11/2023,10:06:00,732,21/11/2023,09:06:00,1176
07/11/2023,10:06:05,732,21/11/2023,09:06:05,1176
07/11/2023,10:06:10,753,21/11/2023,09:06:10,1170
07/11/2023,10:06:15,753,21/11/2023,09:06:15,1170
07/11/2023,10:06:20,753,21/11/2023,09:06:20,1170
07/11/2023,10:06:25,753,21/11/2023,09:06:25,1035
07/11/2023,10:06:30,753,21/11/2023,09:06:30,1035
07/11/2023,10:06:35,753,21/11/2023,09:06:35,1035
07/11/2023,10:06:40,780,21/11/2023,09:06:40,1035
07/11/2023,10:06:45,780,21/11/2023,09:06:45,1029
07/11/2023,10:06:50,780,21/11/2023,09:06:50,1002
07/11/2023,10:06:55,792,21/11/2023,09:06:55,1179
07/11/2023,10:07:00,792,21/11/2023,09:07:00,1158
07/11/2023,10:07:05,792,21/11/2023,09:07:05,1137
07/11/2023,10:07:10,771,21/11/2023,09:07:10,1389
07/11/2023,10:07:15,771,21/11/2023,09:07:15,1452
07/11/2023,10:07:20,771,21/11/2023,09:07:20,1458
